lat	lon	essence	anne_plant
48.8680492235	2.25222272521	Noisetier de Byzance	1993
48.8893632688	2.34974246286	Noisetier de Byzance	1990
48.8237205248	2.36384455033	Cerisier à fleurs	1986
48.8521820226	2.368078315	Sophora	1996
48.8451863105	2.26574261474	Platane	1996
48.8460360491	2.24897028977	Marronnier	2013
48.8277991925	2.38494862311	Tilleul	2000
48.8743724467	2.30204326921	Platane	1993
48.8228249288	2.34887723624	Althea	2009
48.8730495372	2.37722862443	Marronnier	1905
48.8274206249	2.38069251606	Fevier	2000
48.8762986863	2.36832259535	Erable	1997
48.8182989544	2.35865242323	Poirier à fleurs	1994
48.8345617303	2.29292880772	Bouleau	1993
48.8933201061	2.33335368267	Charme	1997
48.8390473057	2.35028559196	Poirier à fleurs	1999
48.8881760136	2.37772077131	Peuplier	1988
48.8215085082	2.34088828925	Chêne	1991
48.8238094268	2.35815430198	Tulipier	2009
48.884129478	2.38700852488	Tulipier	1994
48.848704524	2.36477437628	Pterocarya	1974
48.8576300873	2.22679362914	Platane	2005
48.8710062947	2.33385543943	Platane	2000
48.8227733706	2.34890912257	Althea	2009
48.8442748988	2.36972964368	Platane	1996
48.8462063239	2.37939927365	Photinia	2005
48.8544476476	2.39227728645	Sophora	1997
48.8881034227	2.37757155155	Peuplier	1988
48.8814558171	2.31715698158	Tilleul	1987
48.844887526	2.35366915704	Hêtre	1905
48.8418232058	2.27437671763	Hêtre	1991
48.8434607735	2.25645222692	Sophora	1995
48.8755934459	2.27316167488	Noisetier de Byzance	1994
48.8988242043	2.32338672219	Amelanchier	2009
48.834274088	2.31937941606	Cerisier à fleurs	2006
48.8754989472	2.27245203254	Noisetier de Byzance	1994
48.8426920344	2.38867419744	Noisetier de Byzance	1993
48.8490056586	2.39119478364	Noyer	1987
48.8926878027	2.3461856516	Paulownia	2004
48.8702104496	2.37076569667	Mûrier	1988
48.8876393708	2.31541329281	Aulne	2004
48.8578243959	2.27777048397	Erable	1996
48.841560571	2.27498131715	Hêtre	1991
48.8221918254	2.33759635075	Arbre à caramel	1992
48.8834504442	2.30689797895	Platane	1931
48.8669276094	2.40033006464	Tilleul	1975
48.851226289	2.3201879256	Cerisier à fleurs	2007
48.8259392266	2.32437765075	Cerisier à fleurs	2005
48.8428385238	2.2602493541	Platane	2007
48.8632280248	2.33578202861	Platane	1985
48.8847331395	2.34965094751	Noisetier de Byzance	1997
48.8698641401	2.28103482078	Non spécifié	2000
48.8193922261	2.35271627751	Pommier à fleurs	1997
48.8963748567	2.33040484043	Charme	1998
48.8789129675	2.3955145122	Charme	1989
48.8992072844	2.37620530632	Sophora	2008
48.8417520918	2.27434630074	Hêtre	1991
48.8726138732	2.37310532478	Charme	1995
48.8777914752	2.4097418309	Orme	2011
48.8221155826	2.3225616291	Erable	1990
48.8415773102	2.27499596712	Hêtre	1991
48.8871850168	2.39389296949	Poirier à fleurs	1992
48.8395296821	2.27055305341	Arbre aux quarante écus	2002
48.8936611892	2.36355586615	Poirier à fleurs	2004
48.8939575519	2.31792040869	Amelanchier	2002
48.8813334998	2.29033652213	Poirier à fleurs	1989
48.8649936323	2.27237447214	Marronnier	2007
48.82855217	2.3492740926	Prunier à fleurs	2000
48.8906308402	2.31532981694	Pommier à fleurs	2007
48.8608793853	2.35135281043	Platane	1997
48.8295005915	2.35609232148	Tulipier	1998
48.8392601016	2.25457642557	Sophora	1964
48.8362671805	2.30861826627	Noisetier de Byzance	1995
48.8925814875	2.3251632086	Erable	1988
48.8587518172	2.30996325454	Platane	2000
48.8441316126	2.38239941958	Tilleul	1995
48.8351186671	2.37425219558	Frêne à fleurs	1997
48.8268237842	2.30868384084	Platane	2000
48.8866146385	2.31757339715	Tilleul	1995
48.8854967254	2.3423447233	Robinier	1987
48.8910046758	2.3312152892	Troene	2013
48.8829502291	2.32495756282	Micocoulier	1999
48.8829670502	2.32459024879	Micocoulier	2011
48.8866277802	2.34068546443	Sophora	1991
48.8723403896	2.36982393682	Mûrier	1986
48.8406426694	2.27198057575	Bouleau	2000
48.8204583876	2.35883875283	Arbre à caramel	1999
48.8583056957	2.30992172405	Platane	2011
48.835003616	2.34288335179	Marronnier	2000
48.9000799894	2.32995338253	Fevier	1991
48.8383674657	2.31467163711	Erable	2004
48.8567270669	2.36687334762	Magnolia	1993
48.8886804849	2.2972900853	Platane	1993
48.8237813087	2.3646361943	Marronnier	1986
48.8642699675	2.37515233809	Frêne	1987
48.8349404995	2.35765416085	Robinier	1987
48.8350341905	2.3566435947	Metaséquoia	2007
48.82258595	2.36253384351	Cerisier à fleurs	2009
48.8390253741	2.41354671646	Marronnier	2011
48.8639912226	2.39758750707	Erable	1989
48.8500735337	2.41144543284	Charme	2011
48.8848987565	2.29650732617	Platane	1998
48.825213565	2.36057834811	Non spécifié	1986
48.8529084664	2.27075579228	Frêne à fleurs	1993
48.8847601831	2.39138118398	Fevier	1991
48.8943294174	2.30479616118	Platane	1992
48.8988901107	2.33877625118	Marronnier	2002
48.8651272468	2.38885340414	Erable	2009
48.8196582671	2.35014339319	Charme	1987
48.8401248028	2.29811313069	Marronnier	1999
48.8542253992	2.33391824735	Arbre à soie	2010
48.8920742152	2.34650500955	Poirier à fleurs	2008
48.8346364552	2.35634212808	Palmier	2003
48.8630180289	2.36240151227	Micocoulier	2004
48.8364304524	2.40939546579	Tilleul	1988
48.8754439359	2.2837703545	Tilleul	1991
48.8574372701	2.27482881249	Magnolia	2006
48.8611938957	2.29619951622	Platane	1976
48.8209395027	2.3229284118	Tilleul	2010
48.8418459959	2.3874548412	Pommier à fruits	1991
48.8449860121	2.41070138253	Platane	2012
48.8555355558	2.37001897203	Platane	1994
48.828694385	2.37899030083	Orme	2007
48.8198183598	2.35502874333	Poirier à fleurs	2005
48.8288804201	2.33435866355	Platane	1930
48.8866305452	2.37430198882	Troene	2011
48.886026032	2.30639016401	Marronnier	1989
48.832330684	2.35814770702	Erable	1989
48.8195011952	2.35228776754	Peuplier	1997
48.8714376421	2.28931702847	Tilleul	2007
48.8648451575	2.40933607348	Platane	1993
48.8482128948	2.25961767572	Tilleul	2011
48.8754589488	2.29339040615	Paulownia	1993
48.8366011284	2.27933255622	Frêne	1966
48.8408313102	2.37358039013	Platane	1996
48.8996043815	2.3224233132	Marronnier	1998
48.8425840254	2.27369632859	Saule	1991
48.8491758436	2.4142112828	Tilleul	1990
48.8420409439	2.27475149951	Parrotie de Perse	1991
48.8847728224	2.39021617675	Copalme	1994
48.8583073527	2.29925130632	Platane	1988
48.8197981417	2.3480865945	Filaire	1994
48.8620583251	2.2675439882	Tilleul	1991
48.879454357	2.29022114436	Platane	1987
48.8786050988	2.3368391588	Erable	1995
48.8829625834	2.2933481437	Poirier à fleurs	1989
48.8379959106	2.3606074387	Micocoulier	1998
48.8315991804	2.37576154343	Arbre aux quarante écus	2001
48.8989247572	2.32810290042	Arbre de Judée	2009
48.8612224033	2.29654193267	Marronnier	1997
48.8861608074	2.35313417879	Aulne	2007
48.8586848978	2.3427839331	Platane	1983
48.8785266415	2.30727133003	Hêtre	1959
48.8873961228	2.37628401966	Peuplier	1989
48.8675021227	2.38262300279	Sophora	1995
48.886267767	2.35460066482	Magnolia	2005
48.8258142608	2.33565099837	Platane	1930
48.8860416929	2.33435908966	Chêne	2007
48.8849168781	2.2848159992	Erable	2010
48.8411057284	2.32446359777	Pterocarya	1922
48.8237027461	2.33799759894	Hêtre	1987
48.8957859082	2.37907384661	Marronnier	1999
48.8411808387	2.27264915333	Saule	1991
48.8726564515	2.41254063132	Amelanchier	2005
48.8353306477	2.3722192165	Arbre aux quarante écus	2001
48.8624144832	2.3065673949	Marronnier	1975
48.8398477001	2.27649586568	Magnolia	1991
48.8292066151	2.37608936757	Platane	2001
48.8708628794	2.35399806325	Pommier à fleurs	2003
48.8950724706	2.3648386626	Arbre aux quarante écus	1991
48.8306693978	2.37814166225	Paulownia	2000
48.8652866925	2.27483357615	Tilleul	1993
48.8775127674	2.32713860803	Fevier	1989
48.8328635815	2.37444830417	Arbre aux quarante écus	2001
48.8205302163	2.36002969022	Noisetier de Byzance	1994
48.8263466379	2.34521661215	Poirier à fleurs	2009
48.8400242786	2.32847178815	Cedrele	1922
48.8836146518	2.3711472245	Platane	1998
48.8676419914	2.31903763995	Marronnier	1991
48.8422117229	2.35378570876	Mûrier	2008
48.8387806549	2.27663962626	If	1991
48.8241766529	2.31645569999	Charme-Houblon	2006
48.8944155426	2.37303614349	Charme	2008
48.8886009232	2.34947595593	Charme-Houblon	2006
48.8371814118	2.39099291047	Photinia	2005
48.8590001981	2.40592570623	Magnolia	1992
48.8856404862	2.28584067093	Tilleul	1987
48.8441663349	2.41272265637	Robinier	1998
48.8343166975	2.37318384647	Arbre aux quarante écus	2001
48.8802166054	2.35235911476	Orme	2006
48.8613553766	2.26521006369	Marronnier	2000
48.885441395	2.39308813909	Platane	2013
48.8370120623	2.31300702846	Erable	2005
48.8591410179	2.3844799465	Cerisier à fleurs	1977
48.8428492332	2.28232525673	Tilleul	1989
48.8474550934	2.27314751477	Platane	2000
48.8937568752	2.31245620461	Platane	1998
48.8433239179	2.28256231346	Tilleul	1989
48.8409536796	2.26564053918	Sophora	2010
48.8643587119	2.36335960031	Platane	1986
48.8588883102	2.37980671418	Cedrele	1988
48.8666600168	2.28600756127	Sophora	1992
48.8287751348	2.38009503105	Magnolia	2000
48.8618065761	2.26523411326	Merisier	2008
48.86319957	2.28463277464	Marronnier	1996
48.8890439549	2.29432545698	Micocoulier	2007
48.8968394977	2.34512493952	Platane	1999
48.8740944424	2.33876736494	Chêne	2006
48.8220045971	2.33664882884	Erable	1975
48.8277080274	2.34966028757	Pommier à fleurs	1993
48.8482736843	2.30270234947	Peuplier	1870
48.8231360891	2.33805949421	Hêtre	1986
48.8910330367	2.38165218471	Charme	2007
48.8616398313	2.26793898668	Marronnier	2007
48.8681517819	2.38173926767	Sophora	1995
48.8490882934	2.40317550087	Sophora	2001
48.8260074072	2.35293968613	Sophora	1988
48.8923969689	2.33418139868	Charme	1997
48.8287403112	2.3764125643	Platane	2001
48.8442343037	2.38818054236	Pommier à fleurs	2011
48.8406237337	2.27402000505	Chêne	1991
48.8526363617	2.39740334424	Sophora	1999
48.8649413444	2.29802292678	Ailante	1989
48.8735449521	2.2844412458	Tilleul	1958
48.8425951238	2.25172561413	Copalme	2013
48.8648166268	2.39932554554	Erable	1987
48.8556521857	2.36631917373	Tilleul	1976
48.8378286021	2.41062273306	Platane	1989
48.8205186035	2.32207536255	Frêne à fleurs	1988
48.8415827256	2.27596839008	Prunus blanc	1991
48.8333273695	2.37411991732	Arbre aux quarante écus	2001
48.8992839607	2.34057472361	Marronnier	1990
48.8420587925	2.38683325613	Pommier à fruits	1991
48.8491420235	2.39032029506	Noyer	1987
48.8725189441	2.37291950508	Charme	2011
48.8298595234	2.40054172055	Platane	2013
48.8377919677	2.33673797638	Marronnier	2012
48.8962563819	2.31427749228	Micocoulier	1990
48.8517690852	2.37651480828	Platane	1987
48.887616844	2.37672568575	Peuplier	1989
48.8619068953	2.35505914435	Pommier à fleurs	2006
48.8463164621	2.27869282236	Sophora	1989
48.8616944032	2.371171363	Frêne	1982
48.8223099388	2.37601732819	Noisetier de Byzance	1997
48.8703270384	2.26956191139	Platane	1999
48.8486239459	2.39266597676	Poirier à fleurs	1985
48.8978347275	2.33364474699	Platane	2007
48.8911336809	2.31608597056	Non spécifié	2007
48.8707156035	2.30387595012	Platane	1994
48.8298108776	2.35584471072	Pommier à fleurs	1998
48.839974172	2.27604245198	Magnolia	1991
48.8556136792	2.36630172544	Tilleul	2008
48.882757022	2.32355827404	Micocoulier	1996
48.8843145807	2.37284535713	Tulipier	1989
48.8933820416	2.36390952865	Fevier	2005
